USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0    2347252   4160 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [rcu_par_gp]
root             8     2          0      0 0                   0 I [mm_percpu_wq]
root             9     2          0      0 0                   0 S [ksoftirqd/0]
root            10     2          0      0 0                   0 I [rcu_preempt]
root            11     2          0      0 0                   0 I [rcu_sched]
root            12     2          0      0 0                   0 I [rcu_bh]
root            13     2          0      0 0                   0 S [migration/0]
root            15     2          0      0 0                   0 D [tz_worker_threa]
root            16     2          0      0 0                   0 S [cpuhp/0]
root            17     2          0      0 0                   0 S [cpuhp/1]
root            18     2          0      0 0                   0 D [tz_worker_threa]
root            19     2          0      0 0                   0 S [migration/1]
root            20     2          0      0 0                   0 S [ksoftirqd/1]
root            23     2          0      0 0                   0 S [cpuhp/2]
root            24     2          0      0 0                   0 D [tz_worker_threa]
root            25     2          0      0 0                   0 S [migration/2]
root            26     2          0      0 0                   0 S [ksoftirqd/2]
root            29     2          0      0 0                   0 S [cpuhp/3]
root            30     2          0      0 0                   0 D [tz_worker_threa]
root            31     2          0      0 0                   0 S [migration/3]
root            32     2          0      0 0                   0 S [ksoftirqd/3]
root            35     2          0      0 0                   0 S [cpuhp/4]
root            36     2          0      0 0                   0 D [tz_worker_threa]
root            37     2          0      0 0                   0 S [migration/4]
root            38     2          0      0 0                   0 S [ksoftirqd/4]
root            41     2          0      0 0                   0 S [cpuhp/5]
root            42     2          0      0 0                   0 D [tz_worker_threa]
root            43     2          0      0 0                   0 S [migration/5]
root            44     2          0      0 0                   0 S [ksoftirqd/5]
root            47     2          0      0 0                   0 S [cpuhp/6]
root            48     2          0      0 0                   0 D [tz_worker_threa]
root            49     2          0      0 0                   0 S [migration/6]
root            50     2          0      0 0                   0 S [ksoftirqd/6]
root            53     2          0      0 0                   0 S [cpuhp/7]
root            54     2          0      0 0                   0 D [tz_worker_threa]
root            55     2          0      0 0                   0 S [migration/7]
root            56     2          0      0 0                   0 S [ksoftirqd/7]
root            59     2          0      0 0                   0 I [netns]
root            60     2          0      0 0                   0 S [rcu_tasks_kthre]
root            61     2          0      0 0                   0 S [kauditd]
root            63     2          0      0 0                   0 I [SSPM_WQ]
root            65     2          0      0 0                   0 I [cmdq_buf_dump]
root            66     2          0      0 0                   0 I [cmdq_timeout_ha]
root            67     2          0      0 0                   0 I [cmdq_timeout_wq]
root            68     2          0      0 0                   0 S [id0_trusty_n/0]
root            69     2          0      0 0                   0 S [id0_trusty_n/1]
root            70     2          0      0 0                   0 S [id0_trusty_n/2]
root            71     2          0      0 0                   0 S [id0_trusty_n/3]
root            72     2          0      0 0                   0 S [id0_trusty_n/4]
root            73     2          0      0 0                   0 S [id0_trusty_n/5]
root            74     2          0      0 0                   0 S [id0_trusty_n/6]
root            75     2          0      0 0                   0 S [id0_trusty_n/7]
root            76     2          0      0 0                   0 S [trusty_poll_tas]
root            78     2          0      0 0                   0 S [oom_reaper]
root            79     2          0      0 0                   0 I [writeback]
root            80     2          0      0 0                   0 S [kcompactd0]
root            81     2          0      0 0                   0 I [crypto]
root            82     2          0      0 0                   0 I [kblockd]
root            83     2          0      0 0                   0 I [blk_crypto_wq]
root            84     2          0      0 0                   0 I [pool_reload_wor]
root            85     2          0      0 0                   0 I [cmdq_flushq]
root            86     2          0      0 0                   0 I [cmdq_flushq]
root            87     2          0      0 0                   0 I [cmdq_flushq]
root            88     2          0      0 0                   0 I [cmdq_flushq]
root            89     2          0      0 0                   0 I [cmdq_flushq]
root            90     2          0      0 0                   0 I [cmdq_flushq]
root            91     2          0      0 0                   0 I [task_exec_wq]
root            92     2          0      0 0                   0 I [cmdq_flushq]
root            93     2          0      0 0                   0 I [task_exec_wq]
root            94     2          0      0 0                   0 I [cmdq_flushq]
root            95     2          0      0 0                   0 I [task_exec_wq]
root            96     2          0      0 0                   0 I [cmdq_flushq]
root            97     2          0      0 0                   0 I [cmdq_flushq]
root            98     2          0      0 0                   0 I [cmdq_flushq]
root            99     2          0      0 0                   0 I [cmdq_flushq]
root           100     2          0      0 0                   0 I [cmdq_flushq]
root           101     2          0      0 0                   0 I [cmdq_flushq]
root           102     2          0      0 0                   0 I [cmdq_auto_relea]
root           103     2          0      0 0                   0 I [cmdq_auto_relea]
root           104     2          0      0 0                   0 I [cmdq_auto_relea]
root           105     2          0      0 0                   0 I [cmdq_auto_relea]
root           106     2          0      0 0                   0 I [cmdq_auto_relea]
root           107     2          0      0 0                   0 I [cmdq_auto_relea]
root           108     2          0      0 0                   0 I [cmdq_auto_relea]
root           109     2          0      0 0                   0 I [cmdq_auto_relea]
root           110     2          0      0 0                   0 I [cmdq_auto_relea]
root           111     2          0      0 0                   0 I [cmdq_auto_relea]
root           112     2          0      0 0                   0 I [cmdq_auto_relea]
root           113     2          0      0 0                   0 I [cmdq_auto_relea]
root           114     2          0      0 0                   0 I [cmdq_auto_relea]
root           115     2          0      0 0                   0 I [cmdq_auto_relea]
root           116     2          0      0 0                   0 I [cmdq_auto_relea]
root           117     2          0      0 0                   0 I [cmdq_auto_relea]
root           118     2          0      0 0                   0 I [cmdq_auto_relea]
root           119     2          0      0 0                   0 I [cmdq_auto_relea]
root           120     2          0      0 0                   0 I [cmdq_auto_relea]
root           121     2          0      0 0                   0 I [cmdq_auto_relea]
root           122     2          0      0 0                   0 I [cmdq_auto_relea]
root           123     2          0      0 0                   0 I [cmdq_auto_relea]
root           124     2          0      0 0                   0 I [cmdq_auto_relea]
root           125     2          0      0 0                   0 I [cmdq_auto_relea]
root           126     2          0      0 0                   0 I [cmdq_resource]
root           127     2          0      0 0                   0 I [cmdq_mdp_task]
root           128     2          0      0 0                   0 S [conn-md-thread]
root           129     2          0      0 0                   0 S [pd_dbg_info]
root           130     2          0      0 0                   0 I [devfreq_wq]
root           131     2          0      0 0                   0 S [watchdogd]
root           133     2          0      0 0                   0 S [irq/279-mt6358-]
root           134     2          0      0 0                   0 I [lbat_service]
root           135     2          0      0 0                   0 S [bat_percent_not]
root           136     2          0      0 0                   0 S [dlpt_notify_thr]
root           137     2          0      0 0                   0 S [ion_system_heap]
root           139     2          0      0 0                   0 S [ion_mm_heap]
root           141     2          0      0 0                   0 S [ion_mm_heap_for]
root           142     2          0      0 0                   0 S [ion_carveout_he]
root           143     2          0      0 0                   0 S [ion_history]
root           144     2          0      0 0                   0 S [mdrt_thread]
root           146     2          0      0 0                   0 I [cfg80211]
root           167     2          0      0 0                   0 S [kswapd0]
root           209     2          0      0 0                   0 S [hwrng]
root           210     2          0      0 0                   0 I [ged_notify_sw_v]
root           211     2          0      0 0                   0 I [ged_kpi]
root           212     2          0      0 0                   0 S [spi0]
root           213     2          0      0 0                   0 S [spi1]
root           214     2          0      0 0                   0 S [spi2]
root           216     2          0      0 0                   0 S [spi3]
root           217     2          0      0 0                   0 S [spi4]
root           218     2          0      0 0                   0 S [spi5]
root           219     2          0      0 0                   0 I [accdet]
root           220     2          0      0 0                   0 I [dismicQueue]
root           221     2          0      0 0                   0 I [accdet_eint]
root           222     2          0      0 0                   0 S [pbm]
root           223     2          0      0 0                   0 S [nanohub]
root           224     2          0      0 0                   0 I [ipi_master]
root           225     2          0      0 0                   0 S [chre_kthread]
root           226     2          0      0 0                   0 S [scp_power_reset]
root           227     2          0      0 0                   0 S [ccci_fsm1]
root           228     2          0      0 0                   0 D [ccci_poll1]
root           229     2          0      0 0                   0 I [ccmni0_rx_q_wor]
root           230     2          0      0 0                   0 I [ccmni1_rx_q_wor]
root           231     2          0      0 0                   0 I [ccmni2_rx_q_wor]
root           232     2          0      0 0                   0 I [ccmni3_rx_q_wor]
root           233     2          0      0 0                   0 I [ccmni4_rx_q_wor]
root           234     2          0      0 0                   0 I [ccmni5_rx_q_wor]
root           235     2          0      0 0                   0 I [ccmni6_rx_q_wor]
root           236     2          0      0 0                   0 I [ccmni7_rx_q_wor]
root           237     2          0      0 0                   0 I [ccmni8_rx_q_wor]
root           238     2          0      0 0                   0 I [ccmni9_rx_q_wor]
